campaign,year,page,platform,media_type,category_l0,category_l1,category_l2,url,content,cost_nzd,views,hours,engagement
Organic | Website,2025,All Blacks,FB,Short Video,Social,Moments,Jersey,https://www.facebook.com/reel/1288952026197600/,"that try time energy with cadbury dairy milk 💜 buy any cadbury confectionary product, head to cadburytrytime.co.nz and enter your details to get your jersey number. if your number scores the all blacks first try, you can win a share of $50k. the competition is open to those aged 18 years and over and new zealand residents only. t&cs apply. #cadburytrytime",,728504.0,2305.1498,15612.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/1079461113609946/,that ain’t easy 🤯 #allblacks,,2049322.0,3272.2285,12729.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Ticketing,All Blacks,https://www.facebook.com/reel/474480705524429/,that ball from cane though… 😮‍💨🫴🏽 lock in your tickets to argentina here 👉 allblacks.com/tickets #allblacks,,423718.0,1067.7295,7607.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/1228173628400261/,that finish was powerful 💥 #allblacks,,274084.0,624.5505,6276.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Moments,Haka,https://www.facebook.com/reel/1082914040159736/,that haka… 🔥 @davidhavili comin’ in clutch 🤳,,561791.0,2552.9359,13638.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/433091029539789/,that is a test match ☝🏼,,163834.0,282.9506,5230.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Players Promo,Ardie Savea,https://www.facebook.com/reel/2572610502910948/,that is pure power 💪 #allblacks #ardiesavea,,533062.0,1598.5356,15994.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1186474742457173/,that kick. 🥶,,1968633.0,3413.283,27928.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/1303275330657786/,that line from @gaaalebglaaarke was 👌 #allblacks,,214186.0,502.7632,4807.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/2308633416189191/,that man @willjordan_ 🔥 #allblacks,,1186106.0,3890.398,22615.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/2219481375162273/,that man ardie savea 🫡,,1668379.0,3505.8325,44840.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/1591124884831907/,that man cam roigard 🤩 opening try here in turin! #allblacks,,256591.0,429.1955,4052.0
Organic | Website,2025,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/1186008819735812/,that man jonah lomu 🔥 the winning try in ‘the greatest ever rugby match’ #allblacks,,242730.0,624.296,6040.0
Organic | Website,2025,All Blacks,FB,Short Video,Social,Live Promo,Sky,https://www.facebook.com/reel/1271860854217456/,that man will jordan 😤 📺 catch all the action on @skysportnz,,529081.0,1180.8815,12589.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1172636687357718/,that moment 😅,,278191.0,860.3074,5649.0
